"Julianday","pH.A","Temp.A","Sal.A","Ox.A","pH.B","Temp.B","Sal.B","Ox.B","Temp.AF","Temp.BF"
117.245138888889,7.96,17.5,37.3,8.72,8.24,17.3,37.6,0,15.9,17.9
117.248611111111,7.95,17.6,37.2,8.7,8.24,17.5,37.5,0,15.9,17.9
117.252083333333,7.95,17.6,37.2,8.71,8.24,17.6,37.6,0,16.1,17.9
117.255555555556,7.95,17.7,37.2,8.72,8.23,17.6,37.5,0,16.1,18.1
117.259027777778,7.95,17.7,37.2,8.71,8.24,17.7,37.6,0,16.1,18.1
117.2625,7.94,17.8,37.2,8.7,8.24,17.7,37.5,0,16.3,18.1
117.265972222222,7.95,17.8,37.2,8.67,8.23,17.8,37.5,0,16.3,18.3
117.269444444444,7.94,17.9,37.2,8.67,8.24,17.8,37.6,0,16.3,18.3
117.272916666667,7.95,17.9,37.2,8.62,8.23,17.9,37.6,0,16.3,18.3
117.276388888889,7.95,18,37.1,8.59,8.24,18,37.5,0,16.5,18.4
117.279861111111,7.95,18.1,37.2,8.6,8.23,18,37.5,0,16.5,18.4
117.283333333333,7.94,18.1,37.2,8.57,8.23,18.1,37.4,0,16.5,18.4
117.286805555556,7.95,18.2,37.2,8.55,8.23,18.1,37.5,0,16.7,18.4
117.290277777778,7.95,18.2,37.1,8.56,8.23,18.2,37.4,0,16.7,18.6
117.29375,7.95,18.3,37.2,8.53,8.23,18.3,37.5,0,16.7,18.6
117.297222222222,7.95,18.3,37.1,8.53,8.23,18.3,37.4,0,16.9,18.6
117.300694444444,7.95,18.4,37.1,8.51,8.23,18.4,37.5,0,16.9,18.8
117.304166666667,7.95,18.4,37.1,8.49,8.22,18.4,37.5,0,16.9,18.8
117.307638888889,7.95,18.5,37.1,8.47,8.23,18.3,37.5,0,17.1,18.8
117.311111111111,7.94,18.6,37.1,8.47,8.23,17.7,37.6,0,17.1,18.8
117.314583333333,7.93,18.6,37.1,8.45,8.23,17.6,37.5,0,17.1,19
117.318055555556,7.96,17.8,37.3,8.64,8.24,17.6,37.5,0,17.1,19
117.321527777778,7.96,17.7,37.3,8.62,8.24,17.6,37.5,0,17.1,19
117.325,7.96,17.7,37.3,8.62,8.24,17.7,37.6,0,17.1,19
117.328472222222,7.95,17.7,37.2,8.6,8.23,17.7,37.6,0,17.1,19
117.331944444444,7.96,17.7,37.3,8.6,8.24,17.7,37.6,0,17.1,19
117.335416666667,7.96,17.7,37.3,8.59,8.24,17.7,37.6,0,17.1,19
117.338888888889,7.96,17.7,37.3,8.59,8.24,17.7,37.6,0,17.1,19
117.342361111111,7.95,17.7,37.2,8.58,8.24,17.7,37.5,0,17.1,19
117.345833333333,7.96,17.7,37.2,8.57,8.24,17.7,37.5,0,17.1,19
117.349305555556,7.95,17.7,37.2,8.57,8.24,17.7,37.5,0,17.1,19
117.352777777778,7.95,17.7,37.2,8.57,8.24,17.8,37.6,0,17.1,19
117.35625,7.96,17.7,37.2,8.57,8.24,17.8,37.5,0,17.3,19
117.359722222222,7.95,17.7,37.2,8.56,8.24,17.8,37.5,0,17.3,19
117.363194444444,7.96,17.7,37.2,8.56,8.23,17.8,37.5,0,17.3,19
117.366666666667,7.95,17.8,37.2,8.56,8.24,17.8,37.6,0,17.3,19
117.370138888889,7.95,17.8,37.2,8.56,8.24,17.8,37.4,0,17.3,19
117.373611111111,7.96,17.8,37.2,8.55,8.24,17.8,37.6,0,17.3,19
117.377083333333,7.96,17.8,37.3,8.54,8.23,17.8,37.6,0,17.3,19
117.380555555556,7.95,17.8,37.3,8.54,8.23,17.9,37.5,0,17.3,19
